,CompanyName,CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1,RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE,PreviousName_1.CompanyName,PreviousName_2.CONDATE,PreviousName_2.CompanyName,PreviousName_3.CONDATE,PreviousName_3.CompanyName,PreviousName_4.CONDATE,PreviousName_4.CompanyName,PreviousName_5.CONDATE,PreviousName_5.CompanyName,PreviousName_6.CONDATE,PreviousName_6.CompanyName,PreviousName_7.CONDATE,PreviousName_7.CompanyName,PreviousName_8.CONDATE,PreviousName_8.CompanyName,PreviousName_9.CONDATE,PreviousName_9.CompanyName,PreviousName_10.CONDATE,PreviousName_10.CompanyName,ConfStmtNextDueDate,ConfStmtLastMadeUpDate,CompanyNumberFromURI,record_found,ConfStmtIsfDue,non_null_count
230,Airlines Bagage Ltd,15139570,,,29 Sutton Square,,Hounslow,,United Kingdom,TW5 0JB,Private Limited Company,Dissolved,United Kingdom,,2023-09-14,30,9,2025-06-14,,NO ACCOUNTS FILED,2024-10-12,,0,0,0,0,52290 - Other transportation support activities,,,,0,0,http://business.data.gov.uk/id//company/15139570,,,,,,,,,,,,,,,,,,,,,2024-09-27,,15139570,True,True,27
231,Airlink Projects Bg Ltd,15142863,,,22 Oakdale Drive,Penwortham,Preston,Lancashire,United Kingdom,PR1 9AZ,Private Limited Company,Active,United Kingdom,,2023-09-17,30,9,2025-06-17,,NO ACCOUNTS FILED,2024-10-15,,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id//company/15142863,,,,,,,,,,,,,,,,,,,,,2025-09-30,2024-09-16,15142863,True,False,30
232,Arkt Marketing Limited,15154522,,4385,15154522 - COMPANIES HOUSE DEFAULT ADDRESS,,Cardiff,,,CF14 8LH,Private Limited Company,Dissolved,United Kingdom,,2023-09-21,30,9,2025-06-21,,NO ACCOUNTS FILED,2024-10-19,,0,0,0,0,62090 - Other information technology service activities,,,,0,0,http://business.data.gov.uk/id//company/15154522,,,,,,,,,,,,,,,,,,,,,2024-10-04,,15154522,True,True,27
233,Airluxe Management Ltd,15182448,,,"Flat 2, Union Court",Union Terrace,York,North Yorkshire,United Kingdom,YO31 7EU,Private Limited Company,Active,United Kingdom,,2023-10-02,31,10,2025-07-02,,NO ACCOUNTS FILED,2024-10-30,,0,0,0,0,68320 - Management of real estate on a fee or contract basis,,,,0,0,http://business.data.gov.uk/id//company/15182448,,,,,,,,,,,,,,,,,,,,,2025-10-15,2024-10-01,15182448,True,False,30
234,Airlink Communication Limited,15218950,,,39 Northfield Road,Harborne,Birmingham,,England,B17 0ST,Private Limited Company,Active,England,,2023-10-18,31,10,2025-07-18,,NO ACCOUNTS FILED,2024-11-15,,0,0,0,0,"47990 - Other retail sale not in stores, stalls or markets",,,,0,0,http://business.data.gov.uk/id//company/15218950,,,,,,,,,,,,,,,,,,,,,2025-10-31,2024-10-17,15218950,True,False,29
235,Airlines Software Solutions Ltd,15246457,,,60 Wykebeck Road,,Leeds,,England,LS9 0JA,Private Limited Company,Dissolved,England,,2023-10-30,31,10,2025-07-30,,NO ACCOUNTS FILED,2024-11-27,,0,0,0,0,62012 - Business and domestic software development,,,,0,0,http://business.data.gov.uk/id//company/15246457,,,,,,,,,,,,,,,,,,,,,2024-11-12,,15246457,True,True,27
236,Airlinks Private Ltd,15247595,,,299 Sheppey Road,,Dagenham,,United Kingdom,RM9 4JU,Private Limited Company,Dissolved,United Kingdom,,2023-10-30,31,10,2025-07-30,,NO ACCOUNTS FILED,2024-11-27,,0,0,0,0,47421 - Retail sale of mobile telephones,,,,0,0,http://business.data.gov.uk/id//company/15247595,,,,,,,,,,,,,,,,,,,,,2024-11-12,,15247595,True,True,27
237,Bullen Estates Norfolk Ltd,15272539,,,2 Daisy Way,Acle,Norwich,Norfolk,United Kingdom,NR13 3DN,Private Limited Company,Active,United Kingdom,,2023-11-09,30,11,2025-08-09,,NO ACCOUNTS FILED,2024-12-07,,2,2,0,0,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,,,0,0,http://business.data.gov.uk/id//company/15272539,,,,,,,,,,,,,,,,,,,,,2025-11-22,2024-11-08,15272539,True,False,31
238,Bulldog Staff Hire Ltd,15273672,,,112 Dale Street,,Chatham,,England,ME4 6QH,Private Limited Company,Active,England,,2023-11-09,30,11,2025-08-09,,NO ACCOUNTS FILED,2024-12-07,,0,0,0,0,78200 - Temporary employment agency activities,,,,0,0,http://business.data.gov.uk/id//company/15273672,,,,,,,,,,,,,,,,,,,,,2024-11-22,,15273672,True,True,27
239,Bulldog Services Limited,15298599,,,705 Ormskirk Road,,Wigan,,England,WN5 8AQ,Private Limited Company,Dissolved,England,,2023-11-21,30,11,2025-08-21,,NO ACCOUNTS FILED,2024-12-19,,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id//company/15298599,,,,,,,,,,,,,,,,,,,,,2024-12-04,,15298599,True,True,27
240,Arkwhites Ltd,15318493,,,20 Havelock Road,,Hastings,,England,TN34 1BP,Private Limited Company,Active,England,,2024-12-01,30,11,2026-08-31,2024-11-30,TOTAL-EXEMPTION-FULL,2024-12-28,,0,0,0,0,47190 - Other retail sale in non-specialised stores,,,,0,0,http://business.data.gov.uk/id//company/15318493,,,,,,,,,,,,,,,,,,,,,2025-12-13,2024-11-29,15318493,True,False,29
241,Airlinks Communication Ltd,15318950,,,6 Queensway,Kearsley,Bolton,,England,BL4 8LP,Private Limited Company,Dissolved,England,,,30,11,,,NO ACCOUNTS FILED,,,0,0,0,0,"47990 - Other retail sale not in stores, stalls or markets",,,,0,0,http://business.data.gov.uk/id//company/15318950,,,,,,,,,,,,,,,,,,,,,,,15318950,True,True,24
242,Bulldog Mini Skips Ltd,15330909,,,"Yard 1, Arnock Bungalow",Southend Arterial Road,Brentwood,,United Kingdom,CM13 3TB,Private Limited Company,Active,United Kingdom,,2023-12-06,31,12,2025-09-06,,NO ACCOUNTS FILED,2025-01-03,,0,0,0,0,38110 - Collection of non-hazardous waste,43999 - Other specialised construction activities n.e.c.,,,0,0,http://business.data.gov.uk/id//company/15330909,,,,,,,,,,,,,,,,,,,,,2024-12-19,,15330909,True,True,29
243,Bulleid Shop Limited,15342893,,,Sheffield Park Station,Sheffield Park,Uckfield,,England,TN22 3QL,Private Limited Company,Active,England,,2023-12-11,31,12,2025-09-11,,NO ACCOUNTS FILED,2025-01-08,,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id//company/15342893,,,,,,,,,,,,,,,,,,,,,2025-12-24,2024-12-10,15342893,True,False,29
244,Airline Software Solutions Ltd,15346457,,,11 Grasmere Road,,Sale,,England,M33 3QU,Private Limited Company,Active,England,,2023-12-12,31,12,2025-09-12,,NO ACCOUNTS FILED,,,0,0,0,0,63013 - Business and domestic software development,,,,0,0,http://business.data.gov.uk/id//company/15346457,,,,,,,,,,,,,,,,,,,,,2024-12-25,,15346457,True,True,26
245,Arkta Group Ltd,15358276,,,Unit 7.04 Paintworks,Arnos Vale,Bristol,,England,BS4 3EA,Private Limited Company,Active,England,,2023-12-18,31,12,2025-09-18,,NO ACCOUNTS FILED,2025-01-15,,0,0,0,0,42120 - Construction of railways and underground railways,,,,0,0,http://business.data.gov.uk/id//company/15358276,,,,,,,,,,,,,,,,,,,,,2026-03-24,2025-03-10,15358276,True,False,29
